axis,axis_label,distance_px,region,S,structure_corr,S_measurable,structure_corr_measurable,noise_level,sample_count_structure,noise_source,noise_corr,N,Q,sample_count_noise
x,x,8,foreground,0.26690471181670655,0.26690471181670655,0.24621948003075483,0.24621948003075483,F1,500000,gt,0.0002661291308087185,0.9997338708691913,0.26683368069774205,500000
x,x,8,foreground,0.26690471181670655,0.26690471181670655,0.24621948003075483,0.24621948003075483,F1,500000,proxy,-0.0006824847856186592,0.9993175152143814,0.2667225534116817,500000
x,x,8,background,0.679313909998502,0.679313909998502,0.6120508751939031,0.6120508751939031,F1,500000,gt,0.0017467469203649492,0.9982532530796351,0.6781273205182511,500000
x,x,8,background,0.679313909998502,0.679313909998502,0.6120508751939031,0.6120508751939031,F1,500000,proxy,0.0006677414754811359,0.9993322585245189,0.6788603039259248,500000
z,t,1,all,0.9998301152993487,0.9998301152993487,0.9421867980124474,0.9421867980124474,F2,500000,gt,0.0005353695241112138,0.9994646304758887,0.9992948367263288,500000
z,t,1,all,0.9998301152993487,0.9998301152993487,0.9421867980124474,0.9421867980124474,F2,500000,proxy,-0.0984064344248017,0.9015935655751983,0.9014403986222015,500000
z,t,1,foreground,0.999476929669222,0.999476929669222,0.9342815876851917,0.9342815876851917,F2,500000,gt,0.0014595509697167724,0.9985404490302833,0.9980181421473138,500000
z,t,1,foreground,0.999476929669222,0.999476929669222,0.9342815876851917,0.9342815876851917,F2,500000,proxy,-0.0919235444027756,0.9080764555972244,0.9076014677452234,500000
z,t,1,background,0.9999500106066809,0.9999500106066809,0.8678774054000153,0.8678774054000153,F2,500000,gt,0.00017832620722923066,0.9998216737927708,0.9997716933138705,500000
z,t,1,background,0.9999500106066809,0.9999500106066809,0.8678774054000153,0.8678774054000153,F2,500000,proxy,-0.10201928650488731,0.8979807134951127,0.8979358239840327,500000
z,t,2,all,0.9989426024747529,0.9989426024747529,0.8480307029903476,0.8480307029903476,F2,500000,gt,-0.0011730182216169553,0.998826981778383,0.9977708245997005,500000
z,t,2,all,0.9989426024747529,0.9989426024747529,0.8480307029903476,0.8480307029903476,F2,500000,proxy,0.004717253142875709,0.9952827468571243,0.9942303373436764,500000
z,t,2,foreground,0.9974640087091963,0.9974640087091963,0.8642837930491111,0.8642837930491111,F2,500000,gt,0.0014095035808747794,0.9985904964191252,0.996058079617127,500000
z,t,2,foreground,0.9974640087091963,0.9974640087091963,0.8642837930491111,0.8642837930491111,F2,500000,proxy,0.010836326092731753,0.9891636739072682,0.98665516344506,500000
z,t,2,background,0.9998370601506158,0.9998370601506158,0.6825328420238692,0.6825328420238692,F2,500000,gt,-0.0015812560980829312,0.9984187439019171,0.9982560617021633,500000
z,t,2,background,0.9998370601506158,0.9998370601506158,0.6825328420238692,0.6825328420238692,F2,500000,proxy,0.0002446840703237771,0.9997553159296763,0.9995924159490777,500000
z,t,3,all,0.9977368244527671,0.9977368244527671,0.8247251390659242,0.8247251390659242,F2,500000,gt,-0.00010955502272040065,0.9998904449772796,0.9976275173722953,500000
